t_sim_s,x,y,phi,v,delta,ref_idx,a
1309.2895,59.06885147094727,104.69074249267578,-1.5682396921484203,4.210817752743621,0.0,1160,-0.897112001965953
1309.3502,59.06949996948242,104.43836975097656,-1.5682396921484203,4.11702501408366,0.0,1163,-0.583956218502065
1309.4665,59.07070159912109,103.97119140625,-1.5682404910967476,3.946802158278684,0.0,1168,-0.27354705770113874
1309.5898,59.07196807861328,103.48189544677734,-1.5682404910967476,4.031452473491138,0.0,1173,-0.14076802579067405
1309.6496,59.07258605957031,103.23751068115234,-1.5682396921484203,4.1264816953184695,0.0,1176,-0.012428298475028132
1309.769,59.0738525390625,102.73968505859376,-1.5682396921484203,4.158282073233597,0.0,1181,0.17434135980844223
1309.8919,59.07514953613281,102.2374038696289,-1.5682396921484203,4.02879266780301,0.0,1186,0.08617765634504604
1309.9513,59.07576370239258,101.9983901977539,-1.5682396921484203,4.022606206084306,0.0,1188,-0.1093839723575778
1310.0723,59.077030181884766,101.50531768798828,-1.5682396921484203,4.129989785493958,0.0,1193,-0.034786832189035444
1310.193,59.07830810546875,101.005126953125,-1.5682396921484203,4.114122039660695,0.0,1198,0.19069257795397387
1310.2586,59.0789909362793,100.73751831054688,-1.5682396921484203,4.061257756533793,0.0,1201,0.1050556428946594
1310.3808,59.08025741577149,100.2411117553711,-1.5682396921484203,4.091030152313778,0.0,1206,-0.08589778464781883
1310.5029,59.08155059814453,99.73611450195312,-1.5682396921484203,4.151061299527512,0.0,1211,0.014242661776964205
1310.5609,59.0821647644043,99.4966812133789,-1.5682396921484203,4.106590334945412,0.0,1214,0.14255379103483978
1310.6869,59.08349990844727,98.98538970947266,-1.5682396921484203,4.051623705561423,0.0,1219,-0.027412056442037702
1310.8102,59.08479690551758,98.48037719726562,-1.5682396921484203,4.13799875241003,0.0,1224,-0.12085193213745882
1310.871,59.08544921875,98.22809600830078,-1.5682396921484203,4.156842947472382,0.0,1227,0.044974953918713645
1310.9891,59.0866813659668,97.7427978515625,-1.5682396921484203,4.057836447926871,0.0,1232,0.04001106580177183
1311.104,59.08788299560547,97.27685546875,-1.5682396921484203,4.078963254408594,0.0,1238,-0.13961504324477314
1311.1595,59.088470458984375,97.0486831665039,-1.5682396921484203,4.124225740016954,0.0,1240,-0.07693078348316895
1311.2776,59.08970642089844,96.56062316894533,-1.5682396921484203,4.10540778375627,0.0,1246,0.11051358206460726
