t_sim_s,x,y,phi,v,delta,ref_idx,a_raw,a
532.4304,55.73388671875,93.88941192626952,4.22598604309931,4.095149609207331,-0.1427948863018632,1309,0.012819561392735582,0.0005248486819643661
532.5265,55.57743453979492,93.6319351196289,4.2133408216113954,4.099513280210696,-0.138140744927656,1314,0.047267363681001456,0.00768669991316582
532.6163,55.38303756713867,93.3204574584961,4.198473458509919,4.103936612115632,-0.131125407217483,1318,0.013034758747294952,0.005903064563658411
532.7361,55.11832427978516,92.9090805053711,4.179849440374777,4.102245365644128,-0.1225856752251972,1324,-0.024097810116362788,0.002670349208096752
532.8243,54.91845703125,92.60750579833984,4.166694223538112,4.098924267611429,-0.1181547205099525,1328,0.0007398316139925076,0.0025747982454958113
532.9206,54.69588088989258,92.27980041503906,4.152972552337588,4.10238186457691,-0.1122377571784395,1332,0.024396273760117215,-0.0004782197468359873
533.0321,54.43463134765625,91.9053726196289,4.137813839412857,4.103993813298782,-0.107276503169674,1337,-0.0034415233847856852,-0.010910208614450878
533.1273,54.20823669433594,91.5887680053711,4.125567293140128,4.101670501693275,-0.0986026625658423,1342,-0.049613916113066044,-0.021052672962649694
533.2168,53.992469787597656,91.2920379638672,4.1150419478799165,4.094830122992698,-0.0893614204693002,1346,-0.03874422881516169,-0.0224748060699878
533.3133,53.75746536254883,90.9720230102539,4.10544418162738,4.094464075133653,-0.0686041554770528,1351,-0.0036540113815641457,-0.017426006004931546
533.4229,53.491844177246094,90.61143493652344,4.097271739190254,4.094077031246957,-0.0452576649064698,1356,-0.010295220395052217,-0.0174494941152719
533.5173,53.20956039428711,90.22555541992188,4.09238457227385,4.092363850173063,-0.0157907599208819,1360,-0.0381991259407671,-0.019570366163589585
533.6281,53.00106430053711,89.93435668945312,4.092371522784508,4.086238570603912,0.0187852856085327,1365,-0.029136046095767924,-0.013567894311994101
533.7217,52.78153610229492,89.61861419677734,4.096011531362429,4.086408442351086,0.0510905338642797,1370,0.015792625261184676,-0.0008250524756294267
533.8334,52.52726745605469,89.23802185058594,4.104747765002324,4.089480796570033,0.0776181375009579,1375,0.02706602261954257,0.002801570518133521
533.9282,52.31840515136719,88.91393280029297,4.114179882635058,4.091997576022019,0.0850743596610206,1379,-0.012765794991283696,-0.00532523991784812
534.0241,52.11030960083008,88.58257293701172,4.124210945196951,4.087046359465195,0.084456211171136,1384,-0.026346909219172966,-0.010970267460165236
534.1145,51.91598510742188,88.26654815673828,4.133630545972561,4.087089146834485,0.0834260516797987,1388,0.018383535756490692,-0.009074670134219372
534.2367,51.65788269042969,87.83649444580078,4.146268843241641,4.0909546991670265,0.0831788341558066,1394,0.024689449570923908,-0.012054248390969555
534.3329,51.46012878417969,87.49880981445312,4.155971271725018,4.092481322620774,0.0798008318432757,1398,-0.028137120788356118,-0.021225565258992666
534.45,51.22232818603516,87.08443450927734,4.167157879883895,4.08495305130287,0.0753535971272334,1403,-0.08689878708736772,-0.022897473561604847
534.5186,51.08405685424805,86.83905029296875,4.173577696007641,4.07634421785865,0.0751889219835779,1407,-0.04151980159502245,-0.00865133212625081
534.6344,50.85423278808594,86.42292022705078,4.184394657407215,4.077296799888749,0.0751889219835779,1412,0.027004067265228617,0.0061078682494102015
534.724,50.681888580322266,86.10363006591797,4.192663772591911,4.081890853274929,0.0753124260656695,1417,0.017421591032584116,0.009168095709445382
534.8273,50.48643493652344,85.73361206054688,4.20221546615759,4.080657424798934,0.0753535971272334,1422,-0.022281354940485307,0.006105734486508671
534.9126,50.32640075683594,85.4242172241211,4.210164735695367,4.077688589733155,0.075518272270889,1426,0.030001212509962256,0.009934049838378457
535.0357,50.09815216064453,84.9720230102539,4.221762269610444,4.08690967748601,0.0760946580301843,1432,0.097947204715135,0.015396922857273917
535.1233,49.9400520324707,84.65066528320312,4.230069201682619,4.098326065766631,0.0786476416050672,1436,0.06549479086189766,0.012656993903402056
535.2172,49.77497482299805,84.30546569824219,4.239669897412354,4.098796982027446,0.0915882533209091,1441,-0.05049187189568799,0.0010326520269388867
535.3343,49.576438903808594,83.8695297241211,4.254365486623521,4.087672280796641,0.118320305913647,1446,-0.07408425867699665,-0.0049255943947437725
535.4318,49.41905212402344,83.5003433227539,4.269691978696927,4.08289850011537,0.1410906701490459,1451,-0.023794902935682843,-0.0014217107179144706
535.5242,49.27875900268555,83.14997863769531,4.285874410744684,4.083153628729155,0.1486183386195697,1456,0.01045675382790486,0.0015883946358442678
535.626,49.13341522216797,82.76506042480469,4.3041735232268366,4.084929201708749,0.149409172541453,1461,-0.010108711100748576,-0.0013015906294802254
535.717,49.0088996887207,82.4171371459961,4.320588449237758,4.0812046692289305,0.1482853928051046,1465,-0.004695277343149765,-0.0006901549182426227
535.831,48.85893630981445,81.97443389892578,4.340867089358167,4.083966669853403,0.1422544649167088,1471,0.03912598539439995,0.00981017596085542
535.923,48.74355697631836,81.61444091796875,4.356789863199642,4.089264622220178,0.1399686745223738,1475,0.06367905950783752,0.022307709382383127
536.0259,48.622161865234375,81.21356964111328,4.374208268309305,4.096377718551478,0.1388469155633119,1480,0.03417809627783601,0.02343083722674983
536.1183,48.51865768432617,80.85063171386719,4.389860464984028,4.095939604423238,0.1388469155633119,1485,0.001862024905700663,0.01728250374793859
536.2313,48.399017333984375,80.4017562866211,4.409116983878064,4.096760178467109,0.1388469155633119,1490,-0.004582081827466298,0.0126607111679557
536.3261,48.30581283569336,80.02536010742188,4.425194487378872,4.0949874478194905,0.1388884598314919,1494,-0.006108416471228187,0.009714057486283434
536.4184,48.22127151489258,79.65898132324219,4.440804073476153,4.095617293745343,0.1394285444204319,1498,-0.00210670227325714,0.002359938650783739
536.5283,48.12806701660156,79.21932220458984,4.459751133051522,4.094561472619838,0.1447075884140131,1503,0.0003661052266616582,-0.006619757715525384
536.6191,48.05824661254883,78.85234832763672,4.476496024721504,4.0956907710643335,0.1587421597473259,1507,-0.0020766616717427266,-0.008880364765596921
536.7193,47.99128723144531,78.44800567626953,4.49664922995457,4.094164830240535,0.174156940172574,1512,-0.0038340073041780933,-0.0053141292203937145
536.8284,47.9300537109375,78.00879669189453,4.519740434502211,4.094888313335569,0.1773384082400843,1517,-0.001678640775684792,-0.003798046661114629
536.9219,47.88577651977539,77.62904357910156,4.539836914404058,4.093824737619381,0.1773384082400843,1522,-0.009135050495010745,-0.004789258728099448
537.0174,47.84834671020508,77.23834228515625,4.560539263453898,4.093161788792012,0.1796003498213975,1526,-0.010849105160203968,-0.0033258380803293406
537.1139,47.81972122192383,76.84598541259766,4.581844552174531,4.091741709428623,0.1886183506433748,1531,9.884794332438459e-05,-0.0021333047861125188
