x,y,z,yaw,road_id,target_speed_mps,target_speed_kph
58.8176383972168,197.99562072753906,0.0,-1.568223446865771,47,4.133,14.878
58.817893981933594,197.8956298828125,0.0,-1.568223446865771,47,4.162,14.982
58.81814956665039,197.79562377929688,0.0,-1.568223446865771,47,4.19,15.086
58.81840896606445,197.6956329345703,0.0,-1.568223446865771,47,4.219,15.188
58.81866455078125,197.5956268310547,0.0,-1.568223446865771,47,4.247,15.29
58.81892395019531,197.49562072753906,0.0,-1.568223446865771,47,4.276,15.392
58.81917953491211,197.3956298828125,0.0,-1.568223446865771,47,4.303,15.493
58.81943893432617,197.29562377929688,0.0,-1.568223446865771,47,4.331,15.593
58.81969451904297,197.1956329345703,0.0,-1.568223446865771,47,4.359,15.692
58.81995391845703,197.0956268310547,0.0,-1.568223446865771,47,4.386,15.791
58.82020950317383,196.99562072753906,0.0,-1.568223446865771,47,4.414,15.889
58.820465087890625,196.8956298828125,0.0,-1.568223446865771,47,4.441,15.987
58.82072448730469,196.79562377929688,0.0,-1.568223446865771,47,4.468,16.084
58.820980072021484,196.6956329345703,0.0,-1.568223446865771,47,4.494,16.18
58.82123947143555,196.5956268310547,0.0,-1.568223446865771,47,4.521,16.276
58.821495056152344,196.49563598632812,0.0,-1.568223446865771,47,4.548,16.371
58.821754455566406,196.3956298828125,0.0,-1.568223446865771,47,4.574,16.466
58.8220100402832,196.29562377929688,0.0,-1.568223446865771,47,4.6,16.56
58.822265625,196.1956329345703,0.0,-1.568223446865771,47,4.626,16.654
58.82252502441406,196.0956268310547,0.0,-1.568223446865771,47,4.652,16.747
58.82278060913086,195.99563598632812,0.0,-1.568223446865771,47,4.678,16.839
58.82304000854492,195.8956298828125,0.0,-1.568223446865771,47,4.703,16.931
58.82329559326172,195.79563903808594,0.0,-1.568223446865771,47,4.729,17.023
58.82355499267578,195.6956329345703,0.0,-1.568223446865771,47,4.754,17.114
58.82381057739258,195.5956268310547,0.0,-1.568223446865771,47,4.779,17.205
58.82406997680664,195.49563598632812,0.0,-1.568223446865771,47,4.804,17.295
58.82432556152344,195.3956298828125,0.0,-1.568223446865771,47,4.829,17.385
58.824581146240234,195.29563903808594,0.0,-1.568223446865771,47,4.854,17.474
58.8248405456543,195.1956329345703,0.0,-1.568223446865771,47,4.879,17.563
